title,google_news_link,reason
Perempuan Uganda Diamankan Usai Masuk Rumah Warga di Tabanan - mcwnews.com,https://news.google.com/rss/articles/CBMikwFBVV95cUxNWjBfdWlFcTBIdGh5dVhrclpraE5ZSDNlWHA3dUpqREtVdkdaZE1MUUtpOWRjcnhFaEZpN0lsZHBFaVFJYnRoaWxYMk8xQk9XZ0tSQnVCVUJuVG9TRlpvRktTd3RteWxKb0tFaDhZbmRDWkVDbzlGREpOTVVlMWsyeVVYbVowZ2dkTkVoWFQ0SW42WVU?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://www.mcwnews.com/read/perempuan-uganda-diamankan-usai-masuk-rumah-warga-di-tabanan on URL https://www.mcwnews.com/read/perempuan-uganda-diamankan-usai-masuk-rumah-warga-di-tabanan
"WNA Uganda Linglung Ditemukan di Kediri Tabanan, Imigrasi Proses Deportasi - Bisnis Bali",https://news.google.com/rss/articles/CBMivwFBVV95cUxQZXZpeDN6QklhS2hRMVpsRGRpS01vNEhtRnZSc1poV0h2NS1VSXZQVWRsdEJwU0s1VmpWa2l5ZDVDRWRkT08xTkhlQjZpUV9yeXhMWTdtOWtidEFBWElTQjYxeFA4OER3TzQ0SjJYN1V4S2FjbXE5VVVuZU1uSXJRem0xdTQxei1aeHFZZy05TzktWlBMazk3aHFsVkNVQWpkMF83cXFoSXVFdjBrdkhTcUVjbjl0dmVROU5BREpZSQ?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://www.bisnisbali.com/2026/09/14/26832/wna-uganda-linglung-ditemukan-di-kediri-tabanan-imigrasi-proses-deportasi.html on URL https://www.bisnisbali.com/2026/09/14/26832/wna-uganda-linglung-ditemukan-di-kediri-tabanan-imigrasi-proses-deportasi.html
"Kebersihan Jadi Rutinitas, Danramil 1619-01/Tabanan Tekankan Kepedulian Anggota - gentra.co.id",https://news.google.com/rss/articles/CBMisAFBVV95cUxOalN0RnFrSW95ZkhKc3NnS29YVGpXYy16WlVWMEs2ZEdVQ0hTLU1GTVlpZUZwZnpwa052emU4djVXRWFvY3g3VDhwQW0zTUNPOHpkZlJXd1BKOVhSeVNxZC1GbEk3MERLYzZmb2tzZ2k1bHYzcnFLblZHU1pTb2lnUUptVzJFMld5ZGNWSC10X25YSTdoZ0QzNTBhc0NqRmZLX0hfMjdxOFd0WXhYMF9FTg?oc=5,Empty content (no article body text found)
"Masuk Rumah Warga dengan Linglung, WNA Uganda Diamankan di Tabanan - Media Indonesia",https://news.google.com/rss/articles/CBMirgFBVV95cUxNQmE4eDhmcWhGSTRjZGN5Ujc1cTBwenlYazNhbFhRNHRYNTV0Q0FGS3B3d0U5RWtfV29qeXJGaGEwUlpOV0FHYV9yeUJaNnNVSHpZajN4clN0RTIzLTZRQzh2Zk5Qa2JRWkloRlFWSWVobFdWbEdoMDJ2X2xmQ3FzenlqcDF4eVhqSjJwMTFQRGozdkFxQ3Y2LS1qTWxmcThwSDRITW9lNlNVLTU0VXc?oc=5,"Scrape failed: Article `download()` failed with ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer')) on URL https://mediaindonesia.com/nusantara/933064/masuk-rumah-warga-dengan-linglung-wna-uganda-diamankan-di-tabanan"
Kabel Semrawut di Pusat Kota Tabanan Bakal Ditertibkan - NUSABALI.com,https://news.google.com/rss/articles/CBMimAFBVV95cUxNNWtqajhMTEpFdXlPdWdXaEs5VldzdWdRcjZXU19NYnBZLXI3V21ycEx0S2tUSmpOYlZGb2NWOGo3dExUSnluUkRQMEVkZzBnNXgybW85UjA4UFZrVzRyV0hLS0tFbjhBOUJZVTROcEN1Z3haWW5mbE45eUdVNU9fLU56N21ob18zTXlBcWdyMnVZNXhTMXVfNw?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://www.nusabali.com/berita/230886/kabel-semrawut-di-pusat-kota-tabanan-bakal-ditertibkan on URL https://www.nusabali.com/berita/230886/kabel-semrawut-di-pusat-kota-tabanan-bakal-ditertibkan
"Bupati Sanjaya Buka Pangkung Karung Kite Festival III, Dorong Tabanan Jadi Titik Kumpul Komunitas - baliilu.com",https://news.google.com/rss/articles/CBMiuAFBVV95cUxNdjB4SE91aWZra0RmRXFUbTFrZEN4b0JNRHladnpOal9rdzQ3R3hLbFhPb1RhV2FFSDlSZ2Z2U2tuaXVhTDFMN1Nzb0ZjeW5pRDd6YXRXdmpUTDltb0UyT1pjR19UODZsTXZaTUJJc3dUY0JyZ1dPenEwamQ2eDVDbGVvSjN1NnpFZ0o3VzUtWXJsMldJWjd2M0toXzRtQUNkVHlER2RDN3J5ZVJPNjBScWk4ekxKMk5F?oc=5,Empty content (no article body text found)
Perempuan Uganda Linglung Diamankan Usai Masuki Rumah Warga Tabanan - detik.com,https://news.google.com/rss/articles/CBMiwAFBVV95cUxORFRpYzBJcm5VNGg0R0tFcktybHNacWxoVTEwYjE0TkEyWTlYdlRZTmdHUkpiRnZhUnY2alduSFBWNGRiVU9rRVVaU0ZxNng1VjZ3SjBGcW5zWWNPTUhpMldtQkxQNG9QUHBhb0dROFdrZDVrRDBUdzBhaUZ3Rl9sQk0xcUtJQjZ0b0dwbEdXdWFEOTEzMFYtaFRkQ1o5QXJhdTBucE5qY3dOY0RydWVfMzhMNjBOZGUzV1VZdmJmZUbSAcYBQVVfeXFMTm9WNkZUbi1CUFd2cXEtWnl5ZnBjRFZLWWQ1ZWpRSEFyYWpiOEZRNkxmVGJQVkNITUZCSkRFQm9DeWN1WHZ1RFk0a21GcWYxMnNzNlp6ckM1WlFBZ3RGZVZSVXExUmpWYW4tMlVHbjljeFdBVGFQQXEzRzRFS1hkc0xPOGZXZ01rbWtCYTllTGtRc2QxOVNKVUxmZzlMUlFFaVY4WGh0YldVbm9XVm9KRnlxY0NpV1Y4Z0NQcFB4S1V4cFQzTUJn?oc=5,"Scrape failed: Article `download()` failed with ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer')) on URL https://www.detik.com/bali/hukum-dan-kriminal/d-8661166/perempuan-uganda-linglung-diamankan-usai-masuki-rumah-warga-tabanan"
"WNA Uganda Diamankan di Pangkung Tibah, Imigrasi Tabanan Pindahkan ke Rudenim Denpasar - mediapelangi.com",https://news.google.com/rss/articles/CBMivwFBVV95cUxOaFdwNkxOWlZXYnJfSWZRZG1zNXJjaUFYaV9aSGQ2OXRrUXVZamFGNmdpUHJPZk9jYU1Sc1l0Z2VPN2drcS1DYUQ4NUpCaTY0al9wekZnYk5KSXVGVURPcUF4RmkwOXVSX1prY05sRndCcmZhSmg4cjlIZGEzSFlLdWJHUnpUWDFOTm9vUmtuanFONEE5LS1aZ2FLR3hwZHhoazgzY3VVZ0kzWUU4ZXlxWGVLRXQzX3NoR0pPdDZISQ?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://mediapelangi.com/2026/09/13/wna-uganda-diamankan-di-pangkung-tibah-imigrasi-tabanan-pindahkan-ke-rudenim-denpasar/ on URL https://mediapelangi.com/2026/09/13/wna-uganda-diamankan-di-pangkung-tibah-imigrasi-tabanan-pindahkan-ke-rudenim-denpasar/
Pemkab Tabanan Berencana Tertibkan Kabel WiFi Semrawut di Jalan Gajah Mada - Kilas Bali,https://news.google.com/rss/articles/CBMirAFBVV95cUxQb1RqanRkYklEbkZGQU5fakQzWWNWZEtPeExwd283ZlJhNEstM0xSaDBKMlFEbk80VTdremRaUFBCejN4d1p0S2JNQWlRM2lVMkk2X25ZaGFvcXR2aEs0UFAtbG9tNmhsem1JMGpkOU12VUowSEVaaGpEdXkzMmtsUkwtMzR0VzNyWU1aZG5vbnAtdkcwdlF4c0JvZDlMVm1rbFFDQzZUMjlHWER6?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://kilasbali.com/2026/09/13/pemkab-tabanan-berencana-tertibkan-kabel-wifi-semrawut-di-jalan-gajah-mada/ on URL https://kilasbali.com/2026/09/13/pemkab-tabanan-berencana-tertibkan-kabel-wifi-semrawut-di-jalan-gajah-mada/
"Ganggu Ketertiban, Imigrasi Tabanan Detensi WN Uganda - Balinetizen",https://news.google.com/rss/articles/CBMiiAFBVV95cUxOREhsRDdiak1MSzJ1LTdGejE4NTg3RWFUWnBsV3BDRjU1MXBwTzlPVE9BLVU5cFJ3MWx4bHh3Z3ZjenByQ2tvOHBGcHhiVHBrLWR1NktFdHVWZTlSVElHYmJXN2pwSGYyeWk2QlRuTkhZTHlrNFliZFJ6clZCZ1hFaWdsUWJBU09M?oc=5,Empty content (no article body text found)
