title,google_news_link,reason
"Kabel Melintang Ganggu Upacara Adat, Tabanan Siapkan Jaringan Bawah Tanah - BALIPOST.com",https://news.google.com/rss/articles/CBMilgFBVV95cUxPdnJCMXo3Z3dQaThSZWFjM0JEWVNDblRwYmt5YXpKd01Qakl2dlNjTHczaVQ2Vm9ndlk2UVprMXhjcHZqa0V1WHFOYTNSckNKMXpjQVRoZVlpcGo1WGd2S19aUENTd0M0WDM3Y0RLZFFCYnE4d3JNM181Q1lnS1ZuMG9fa3hCWUJXeWYzQTVaR2hfTmlVdlE?oc=5,"Scrape failed: Article `download()` failed with HTTPSConnectionPool(host='www.balipost.com', port=443): Read timed out. (read timeout=7) on URL https://www.balipost.com/news/2026/09/21/583014/Kabel-Melintang-Ganggu-Upacara-Adat,...html"
Polres Tabanan Rekonstruksi Kasus Juwuk Legi - NUSABALI.com,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNeHRvWElpUnkzWUxLSEpUZzhjb3lET1lFQWJGcnZZMWVvQllXRXplcm1MbG9jOVpsMXVlQ3FPZ1o2aGlFOWhhM0trVklZVkJob2E3a00xeElrXzZqOGp3aWthcDFNVlRFY3RvRmFMeHA1MUxudkpjUjhfc1FXalFmeVlvNEVlYU1DS1Qw?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://www.nusabali.com/berita/231580/polres-tabanan-rekonstruksi-kasus-juwuk-legi on URL https://www.nusabali.com/berita/231580/polres-tabanan-rekonstruksi-kasus-juwuk-legi
"LP2B Tabanan Bertambah 107,78 Hektare, Capai 16.564,33 Ha - Media Pelangi",https://news.google.com/rss/articles/CBMilgFBVV95cUxOMWtnQVlVYmplWmVSUkNPc1hxeXRfbGFUN3dyYUp5bXd2S2lJRTRmaXB4bW1lRnhQV1hNaURleF9IX3NBXzlqVHk1Nnl5WlJtVEFIU1h1Z3l3UG5CXzRXSVg2dUJBNDh5MVBrRHhWdEhGM3A5a3A2SnJkLTNnbkpLa1FJLS1BejJHblZJQnRjMXROMGQwX3c?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://mediapelangi.com/2026/09/21/lp2b-tabanan-bertambah-10778-hektare-capai-16-56433-ha/ on URL https://mediapelangi.com/2026/09/21/lp2b-tabanan-bertambah-10778-hektare-capai-16-56433-ha/
"Bunda Rai Cek Posyandu Enam SPM di Tabanan, Persiapan Telajakan dan PSBS Ikut Disorot - UPDATEBALI.com",https://news.google.com/rss/articles/CBMirAFBVV95cUxQN2RRQWJFYzlrNS1OZlFYdS1ON3VTMUExVFhvOGhydUMtNUJLYUVab2Z4azBfRHI4dHI5OVJTMXU0b3JmSHlvNUNWNjNrYmtmTExYT1ltZTZUSk5raFhrZzFwOUdLMkxWc0VUNXZrQ2xhZllTNnNvVW1UMVV0NWdJR3Zkdy14VnVpMGNqa0ZVa213bWtNMVpzbFNsUjg5TlNGSkhJSDV5TVhrWklF?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://updatebali.com/bunda-rai-cek-posyandu-enam-spm-di-tabanan-persiapan-telajakan-dan-psbs-ikut-disorot/ on URL https://updatebali.com/bunda-rai-cek-posyandu-enam-spm-di-tabanan-persiapan-telajakan-dan-psbs-ikut-disorot/
"Pantai di Tabanan Terkikis 12,76 Km, Penanganan Abrasi Masuk Tahap Perencanaan - Radar Badung",https://news.google.com/rss/articles/CBMiwgFBVV95cUxNTDlMM2RSM1hhcGNYUl9aZUotOUJhdGt3bEl5Y0dlNjBpeWlSQTlJUnRNbkVDODdCRElDMVVWMWtKRDhqcEZ4TC1HWWc1ZjVkZGQwZkY0RF9pZnZLdnFRMGNlT0NjbnA0SW9LUF9yOGdZQ3FGcjFCVHVHbTdCa2lfMjdqSlZ5UUt5cUdTTkZOaXoyRTRTc0RUU0dSQ2FGbHRfVVUweEk2Q0RMWmUtR3lZMHpObDdrVHRfU25ZYWNDejhmQdIBxwFBVV95cUxOX0c4bmdCNHl1SVhGT2lpR2ZzcUl1Mzd6M2l3WGl0TzlPYkgzaGZreTFpeFd3TzA1YjdVVkRuX296bk5sR3R2YlN4SlE1WXRzbVVwbjk5UVI1NVNHd2xKd3Y5RUZnMzRZdTlMZktHb09BN2NlX0ZVeU5rWU91ZmhCTjRiemtidk5Hd3paeVNzYlpad3FDekNtZFNGZjdHaDU5RUUxc2p3R25QaE5fa3czWDM4V3RaY3BaWUNYXy01ZjVKS2ZtdlFj?oc=5,Empty 'how' (No article body text found)
"Tabanan Bakal Tanam Kabel Bawah Tanah, Ogoh-ogoh hingga Bade Tak Lagi Terganggu - detikcom",https://news.google.com/rss/articles/CBMivwFBVV95cUxOYmFVNXJmcE5oQU9CV3VjZy1HRm50MjdSbnZvUHBpYjhERHFvY0NVbjRXOWQ3WjFINHc1WExrTTBNaFZLd2YxZGVsYmNLSGY1RTZGaUxfaTRTQjlhV3E1M2tyQlZPWjdDMnkzUWJOZkh2d0NkUjNTOTZuUkpqX016U0tZcDltcUVhNG8xVFRsNFRIbDBzTF9GZ2ZlZ3phT0dpa01pQXJSbzk0WWg1cEx0MmZMZ2dvMzJDTG5WUjYya9IBxAFBVV95cUxOVUU5UUUxWEV2ZXJlNXNrREtOTFMwNlNQOFJndUE2WDhIa2lQTjVFQUVMamdsaXRINEI0UzQ3WHpKRTZUS0d0YnR2MTJMellSOUdnbkJRWTYxNXdHaTE2WTRGdS02TG1CT0tOeEsxdXB2RF9LendvYV9heUc2N3YwZUJzenpQUGRncng1dndkazNLSW5nX2FtZmZ1TW5sSDV6SmJPVFA0TkJaekZCMGNWbWltSkd0YVRMMXdZaEZHZTJ4enky?oc=5,URL resolve failed
"Kabel Semrawut di Tabanan Ditata, Perda SJUT Jadi Payung Hukum - Media Pelangi",https://news.google.com/rss/articles/CBMinwFBVV95cUxPVFdtRk1sV1VEWmc2MGc5Vl9KVlh4ZkI0b1NPSHlxVTAwcDRPVFloS0NIQk9aQ0V3NXlITGNGOGNLb1Nwb2ROUkRIUU15RVpvYzVHSjUzTmdoeWNoVzRkQVRRSWc1c21kWXN6VUxEUTJfd2JfcEZQVUVPSGN4RUZhYkNoVlUtX09mTk92ekNiRjZabU1OYXlpVFV2bXpNWUU?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://mediapelangi.com/2026/09/21/kabel-semrawut-di-tabanan-ditata-perda-sjut-jadi-payung-hukum/ on URL https://mediapelangi.com/2026/09/21/kabel-semrawut-di-tabanan-ditata-perda-sjut-jadi-payung-hukum/
"DLH Tabanan Luruskan Klaim Kota Paling Berpolusi, Ini Data Resminya - Media Pelangi",https://news.google.com/rss/articles/CBMipgFBVV95cUxPNWxnNVB2eEtrV1lXdjlYaHg5czQtdmx1MjZQN2xEcGJqZm1LajMtcm01Mmp4VzlyT1ZiajFiRlZ6bnNmS3Fzdmxra0IwZ3dXVDFiLV9UdUZhQ0tWcERSRldmQTNjdXVSM0dZcUZab0ppNFVaUDlXSkxYUUZIZ3pnUHdVR0daSk9fb18xZXp5LW1HRW1qX1ZKSkMzTnRYWkV2SW96TjFR?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://mediapelangi.com/2026/09/21/dlh-tabanan-luruskan-klaim-kota-paling-berpolusi-ini-data-resminya/ on URL https://mediapelangi.com/2026/09/21/dlh-tabanan-luruskan-klaim-kota-paling-berpolusi-ini-data-resminya/
Kabel Semrawut di Tabanan Bakal Ditertibkan - Bisnis Bali,https://news.google.com/rss/articles/CBMilwFBVV95cUxPQ2pyaG5OdE1acnFjTGR4eGt0QVFBYmJXM1NWLUtqNVVoN2RwOXRSQ3BpZ3d6al8zNzYtVmJBQ2R4Y2d4TjFTWEtKcDh6YkVUdmVfWFNlcGhfbzVGdUdUejVHMVJ5QnFkMnVfQU9tZkY5cTRES1dZNFk0c2s4RHVrazlxSzZla2xyWE1ZdlYtV2FfQ3hwWEdB?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://www.bisnisbali.com/2026/09/21/27118/kabel-semrawut-di-tabanan-bakal-ditertibkan.html on URL https://www.bisnisbali.com/2026/09/21/27118/kabel-semrawut-di-tabanan-bakal-ditertibkan.html
"DPRD Tabanan: Ranperda SJUT, Penataan Jaringan Utilitas Makin Terarah - Media Pelangi",https://news.google.com/rss/articles/CBMipwFBVV95cUxQWUNIeDI4TjRfYkcxZjVpeV9uS3A2TTE1UHZmTXkyWks1cnY4UXRSaDBxSDhhN0JGS0FzRUJ5cDlHS19tZWFfbDN2c3h3RF9HU21HNjVSbHd1OFFpY1hwVGFSZE9idi1MZUtkV2xGWVpmX1N2REtTcFNxS05NX2cwNDU5V1dKVjUtSVhfZ2Y5Z0pZQ1R4aTljVzl0bDBNczJoTDZvaGQycw?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://mediapelangi.com/2026/09/21/dprd-tabanan-ranperda-sjut-penataan-jaringan-utilitas-makin-terarah/ on URL https://mediapelangi.com/2026/09/21/dprd-tabanan-ranperda-sjut-penataan-jaringan-utilitas-makin-terarah/
