title,google_news_link,reason
"Bangun Kekuatan Diri, Lapas Tabanan Dampingi Warga Binaan dalam Penguatan Pascarehabilitasi - Direktorat Jenderal Pemasyarakatan",https://news.google.com/rss/articles/CBMiugFBVV95cUxOSGo3bUp0SHRfcWstcTQ5MXlIRVFTcHZpVkJsX3d0UDBLX2xXOS1jdzRQZDhnc2RmaF9ONTRrZnBnaUptWFlqWGw4UGhkNHA1STNFZXBpUllMOVg0M0l3TnB2VHhSTEdHSUh1Z2s1RXp2ckdrTTR3RTJ4bnN3dXl4aWFHTGhYWi1wZGcxalBvZUVjd3lpbmZaZHRaRUpvREdBcXBUcWtOQURJY0FaSldBc0NLVWEwcWpqZGc?oc=5,"Scrape failed: Article `download()` failed with HTTPSConnectionPool(host='www.ditjenpas.go.id', port=443): Max retries exceeded with url: /bangun-kekuatan-diri-lapas-tabanan-dampingi-warga-binaan-dalam-penguatan-pascarehabilitasi (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)'))) on URL https://www.ditjenpas.go.id/bangun-kekuatan-diri-lapas-tabanan-dampingi-warga-binaan-dalam-penguatan-pascarehabilitasi"
Lapas Tabanan Perkuat Mental Warga Binaan - NUSABALI.com,https://news.google.com/rss/articles/CBMihwFBVV95cUxPd2poWGpIc1JPdDlWX0hlM0RfQml4ckZyRlpNcHpmLXk4Rk1DRjJ1dFh6VVpEcWZiRGxVS0FlcFNfSDd1c3BEMl9GcW1nQ0xBV3Y2d09KSUs5VXluS2pfaGlCaUlyNE5pTlJiNlRsc3p6ODZlQ3NPZDFhR2UwMnRsSGlLWlhNUk0?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://www.nusabali.com/berita/232008/lapas-tabanan-perkuat-mental-warga-binaan on URL https://www.nusabali.com/berita/232008/lapas-tabanan-perkuat-mental-warga-binaan
"Kabel Semrawut di Tabanan Segera Dikubur, Pawai Adat Tak Lagi Terhambat - IDN Times Bali",https://news.google.com/rss/articles/CBMijwFBVV95cUxQUjl4bGU1OUQ2TW1BUGY0dVg1Si1Kdmk2UEkzWjJmWE1PT1FFWG1OYzBLUGRVSFVYMndPVU1KUjM3QjJwVm5OcHY0SFZaaG03a1E5eTFzNHBjT0RVLTU2bUNUNGpIalhSRDdPakVKNlB3SGlGMEx2NG9LWm5YQW5aNEJ1Q05tUmJvYTRTcXdvTdIBlAFBVV95cUxOM013b1k5bDkwRW1RcGJIclAzbENmVDc4bTViNE1VOUVKUDJzeHlUaTZSMEZUdXpER1lJNHdDdXBpNTZnSEVNOUlBSTJxTmFWclE4TkdMckcwV1JLQmVqUXNTblRQUFd5RTVGR0FBZnpMcEl1WkJYYWVSd3E0VjQ1YUxXQzlJM2xGYmx6YXF3WHdfRXdt?oc=5,URL resolve failed
"Kantor BKPSDM Tabanan Diresmikan, Bupati Sanjaya Kuatkan Pelayanan Kepegawaian - Bisnis Bali",https://news.google.com/rss/articles/CBMixAFBVV95cUxQMjJhT0dhZnZLcEpicDY4VklfOUJmdTVVRmU1Ui14SVJZVVFkWXRwb3RRc3NGV2Z2U1FYd2hKOTBwbFAzak5wMGt0Z2NTZExZekRkNTJtMXFRS2RZRlpWQXhoMExaMDBxc2tzTG1GN192LUtjVjlpSXpUWGhUaUZpSzFzWmVHZl92dWxuUXpNSE5ya3V5SzNOUktiREJCRWsyOWQwamxXM2pNdTFaTmlzcGNiSEJhSEtzdzZJTnJVR0VIMzhU?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://www.bisnisbali.com/2026/09/25/27295/kantor-bkpsdm-tabanan-diresmikan-bupati-sanjaya-kuatkan-pelayanan-kepegawaian.html on URL https://www.bisnisbali.com/2026/09/25/27295/kantor-bkpsdm-tabanan-diresmikan-bupati-sanjaya-kuatkan-pelayanan-kepegawaian.html
Kodim Tabanan Gelar Donor Darah Sambut HUT TNI ke-81 - RRI.co.id,https://news.google.com/rss/articles/CBMinAFBVV95cUxOejVxQU5tMjcyZnhadmxkVkVtRm9FZE9QWnptNTc2b0FmM2tVUzdCTl9mdU9rMVlFa0JvVTE5TE5TT0VkUkJMVFJGalR3cXZEWnpOb2w1SXRMRXVqbUQ0aFlhbW9XaHd1bFFfYVMzcWJPbWFqVl9YTUpKd1JXVXpzanJNOGlMVUxPZl9XS2lWUVVlUnBWa3RlRGRxSnQ?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://rri.co.id/denpasar/regional/2758943/kodim-tabanan-gelar-donor-darah-sambut-hut-tni-ke-81 on URL https://rri.co.id/denpasar/regional/2758943/kodim-tabanan-gelar-donor-darah-sambut-hut-tni-ke-81
"Bawaslu Uji Petik DPN 2026 di Banjar Anyar, Tabanan - NUSABALI.com",https://news.google.com/rss/articles/CBMikwFBVV95cUxNay1HZmZlU3BTNF9JaVhRN01hVzM3TmFMRlg1OHR3eG14anZpRllPTnFOdWc3Z1BKZm9xTE81d2J4Y2xIUFVHd0RIcl9ldXYweDhuaDhJdHowM0FpWk9yRlVlbExnZVdwWXBicXpWZkNXOVRUaW9seGpqMUFLajBWQ18wdUVON2ZwZ3BXTjRoSG5tUjg?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://www.nusabali.com/berita/231998/bawaslu-uji-petik-dpn-2026-di-banjar-anyar-tabanan on URL https://www.nusabali.com/berita/231998/bawaslu-uji-petik-dpn-2026-di-banjar-anyar-tabanan
Sinergi ‎Bapas Denpasar dan Kodim Tabanan Perkuat Pengawasan Warga Binaan - RRI.co.id,https://news.google.com/rss/articles/CBMitwFBVV95cUxNQllVbXd5QjBGUmJVNllEaFlwTWY0VkszdXFjdHcxd3YxNWh2UG9JUnlJblJ6YXdVT01DT1lYV19Pd0M3SjdNT05Ec3RsQm93ejF1WlZJMjdIeWVsRWRnMXNQM1JCWVZNRlJoQ2Zib0s0R1BDZ1hBQk1yZzdjRTN4QW9FRVpqcUU0MnRaTTliSFhmckk3SFNNSzhnRW9qV3lsSk1tZlZYaU9uLXhVbjUtNmVPclRnZmc?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://rri.co.id/denpasar/regional/2758929/sinergi-bapas-denpasar-dan-kodim-tabanan-perkuat-pengawasan-warga-binaan on URL https://rri.co.id/denpasar/regional/2758929/sinergi-bapas-denpasar-dan-kodim-tabanan-perkuat-pengawasan-warga-binaan
Beredar Kabar Internet Mati 3 Hari Secara Nasional - NUSABALI.com,https://news.google.com/rss/articles/CBMikwFBVV95cUxQcEt6S3UxOTdhQTdKTEpvVzJwY1JQQzQ4Y3o4cEdEYnRvLTFKQXdOYjhnOFZVNjM0MGJVN2RlOVhDVkxLZGlvckthZU5ObHZpdWNMSDYwd2lzelJybHRnOHFaR0FkblFnbDhZOVFxSjBabDZDdUZBVUxBTVBoRURnQjhQa1M2dV8xazRqdEZqMEszVVU?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://www.nusabali.com/berita/232012/beredar-kabar-internet-mati-3-hari-secara-nasional on URL https://www.nusabali.com/berita/232012/beredar-kabar-internet-mati-3-hari-secara-nasional
Koramil Tabanan bersama Warga Bersihkan Lingkungan Pasar OB World Clean Up Day - RRI.co.id,https://news.google.com/rss/articles/CBMivwFBVV95cUxPTy1TeDRMbkFGcUFBdWs2Mk83UEZ6b0hqbWlMdzI0SV96alJlSVN6YUl0cHh0eGttTXFCR01JbEI5S3d5aS10RjI4Vkl4LUR1U2RyNWtFRlJWYXFUdWlGVHJGd3NCVDRBSnBtSDl0VTdiQ2VrUUVETk5Id3Y3LXVTbW5KcEVHU3R5UXNQU1NhUm5UVklua3A2anZGN3Y3VjUxdHZ2U3ZKS0hseVpxTVFJdDFLY3doSmRwUjNkSVItUQ?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://rri.co.id/denpasar/regional/2758960/koramil-tabanan-bersama-warga-bersihkan-lingkungan-pasar-ob-world-clean-up-day on URL https://rri.co.id/denpasar/regional/2758960/koramil-tabanan-bersama-warga-bersihkan-lingkungan-pasar-ob-world-clean-up-day
Bupati Sanjaya Tekankan Kode Etik di Era Digital - RRI.co.id,https://news.google.com/rss/articles/CBMilwFBVV95cUxOR3J1c0djRW5tUWdTNFNScHh2SnRGN28zM0VYOUhLV2VzemRuOUxqMWJJVUowd0syMjlVaGgzQVd4UDQydDkyOG1VeGN2ajNPbE9IUFFtcmlJcVJfczVOekpuWk1NZzEzMkdtZUFDbjRjYnN0NDBteGtsaEdGSFd6bDJXcms3Z2VUOGd0M1RJOUNJSkNob0pN?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://rri.co.id/denpasar/regional/2758131/bupati-sanjaya-tekankan-kode-etik-di-era-digital on URL https://rri.co.id/denpasar/regional/2758131/bupati-sanjaya-tekankan-kode-etik-di-era-digital
