title,google_news_link,reason
Bupati Sanjaya Hadiri Pengukuhan Pengurus ABPEDNAS dan ASLINMAS Bali - Balipuspanews.com,https://news.google.com/rss/articles/CBMipgFBVV95cUxOOXhURnNSdUZZT0N3WmM5ZHpEbkR1NHNGOGkwcDdENWJmVk4xRzd6WVNhNnYtTElQa2lvQkRWNE9OTXNvMkNDbEVBcWRuT09jOVo3d3NZN2FnYWd3dUh5NkozZWtXUXNfOTQ0VDN4dFJvMDBKUFJVaFNiTHVpZ01MOUpTaVNvUzNIMXZUMmx5VXZzam80aEY4ZDY2WFF4WnEyVE9mLWNR?oc=5,URL resolve failed
Bupati Sanjaya Dorong Penguatan PAD Wujudkan Kemandirian Fiskal Tabanan - RRI.co.id,https://news.google.com/rss/articles/CBMitgFBVV95cUxQOWF3cDVPU1k4STVQdkVlOEpWM01iNkxFN3NQOFA3WUtTTzVjT0xvNVJEV0F4YU1WLUc3OFEwejhfOXdoV0hXWTJybEdEbHkyc3dkX2I5SmU2ZHRBRjd0WFdvQ3huWTBfS3R5aGdNYmplcHd5R1UxT19qMDlMazRLVGVHUVUwX3EzV3hpVHJkOEt5aWs0NGpfOE1oTzRwOThTV3dFOVBST2tpS05jRmVsZlRkZEdXdw?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://rri.co.id/denpasar/regional/2743235/bupati-sanjaya-dorong-penguatan-pad-wujudkan-kemandirian-fiskal-tabanan on URL https://rri.co.id/denpasar/regional/2743235/bupati-sanjaya-dorong-penguatan-pad-wujudkan-kemandirian-fiskal-tabanan
"Transfer Pusat Diperketat, Tabanan Genjot PAD - Bisnis Bali",https://news.google.com/rss/articles/CBMimAFBVV95cUxOLWtnRkVROFFKcjVBemM4ZlNRZS1sY29RVXhWektyVXVMSTJheDBNN1hmMldnekVsenR1bDduRmdMeHJVUklfSU5QMExfLTBrVVNTTUY3czQ5eElFY2VZdDVmVFQ5T1gyRHo4bmsxb0kwZ1FKWTlJeHZuVFIxbFZud1hRU2RzSjNRb0x1Mnhub0NtZG1XODF3NA?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://www.bisnisbali.com/2026/09/20/27083/transfer-pusat-diperketat-tabanan-genjot-pad.html on URL https://www.bisnisbali.com/2026/09/20/27083/transfer-pusat-diperketat-tabanan-genjot-pad.html
"Satresnarkoba Polres Tabanan Tangkap Teduga Pengedar Sabu, 42 Paket Sabu Disita - Bali Portal News",https://news.google.com/rss/articles/CBMitAFBVV95cUxPWU1pVGRfSjFfS3ZpWnV6YXFYZnlNM3VidWNhV3JDbGR0RGZQSmJIaG52bUVHWGNlaEs3Qlk2WFhiaTNoeTM1ZzFzTlJaZ3Y4cjA1RWRRSU9oeUZEVWN2ekNObHM0T2xVeGVUUDJhbDhuZEhnWjd5d2V4S0pabXhNWWRvNzlnVW5FR1p3RXRKejZXXzFSNFlfWlU2T21rZzR3dENQdG9icW1TZFBiV2NiLW1TemE?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://baliportalnews.com/2026/09/satresnarkoba-polres-tabanan-tangkap-teduga-pengedar-sabu-42-paket-sabu-disita/ on URL https://baliportalnews.com/2026/09/satresnarkoba-polres-tabanan-tangkap-teduga-pengedar-sabu-42-paket-sabu-disita/
"Diduga Kebocoran Gas LPG, Kandang Terbakar dan 24 Ribu Ayam Ludes Jadi Arang - Radar Bali",https://news.google.com/rss/articles/CBMixAFBVV95cUxOUEs4UDFzbGFhY21Nak9aSGtOODNmSHdwLV9XMVJSNzVheVlxTU9DZkJpMUE2TFNsOG1QQnFvNmxHYmo5WmEtZEtlOWYtZXlZQmJPcmN2VkxTZE1pUENSdGc4V0ZPM3NSVDIzaUZwODVTcWFzMkNjMU9PNWxTemROR3FsS3dUQU0ybkpqM2JMbTRVUVUtSlBhMEVaNFNwaXlmWHNjaHUtQndXVmFFWXF6d2NlMVVDNFhLNk9ndTR3UXhFUVoy0gHKAUFVX3lxTE43MnZHMVYyRnhpRnVFc2VPRWVEUmVPMjJjNFBGLUJyS0NZdnVBV0Yta2xJS0txb0JFNm9nMFBDMUdzaFBydTNfOGI1QVdyNFM4LUNhYmtfQi1oUVk0VUtSc2VGSGFnOGZVOEdMbkhkTUJINjZFMV8xNnJzREg3V2dCS3h0Z3ZJUXNrZlgyNm1Pc05DRENmQXE1amtZWFJZVlhYY0h5ZXJFeE5WM01XT2pXLWhJUFlEZmpYMEZuVzEwWS1FSVozUnZKTEE?oc=5,Empty 'how' (No article body text found)
Bupati Sanjaya Dorong Penguatan PAD untuk Wujudkan Kemandirian Fiskal Tabanan - PT Suara Dewata Media,https://news.google.com/rss/articles/CBMivgFBVV95cUxQNi10alBDSmhBempXLWd1UmZRems3MjcwbnNDS3ZHanA1ZGxfSlJsRUVqVHFUTDBQX1QzcDdTRFd2VlFXQzhRUldWenRLXzh0QW8ydmFQNF9vRWZKdklZTlk1WmlrUFRoNkx6MGNUa2Z5MnVpNl9pQWI2elUzS1N4aFVxdXBnV1pTNlJpV04yT2QzbnN0bWNMalBfNHFnczV6X2JoVVBjVTc0VC1ldHphOHh5cDU1SlJNTlBwMzdB?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://suaradewata.com/berita/202405217651/bupati-sanjaya-dorong-penguatan-pad-untuk-wujudkan-kemandirian-fiskal-tabanan on URL https://suaradewata.com/berita/202405217651/bupati-sanjaya-dorong-penguatan-pad-untuk-wujudkan-kemandirian-fiskal-tabanan
Sanjaya Dorong Sinergi ABPEDNAS dan ASLINMAS Perkuat Desa - Media Pelangi,https://news.google.com/rss/articles/CBMimgFBVV95cUxNOVhlVkprTE83aUhTRndzMkRfTUMxUURVMWVCRWRTWU1uQ2JSa2MwcW5UV240ZVIzWFN2aF9rcTRmZjg2bTV0eEhNcGRYUkZ3SW81Z0JxUkxOMTQ3SnBkdnpLMTJSbUtSTk93MHpaRW4tSXpjXzZ6V3hKOTl0Mm1qREZxdmtUeHFobDNtbTFkV3d4dldoWmJGZHlB?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://mediapelangi.com/2026/09/20/sanjaya-dorong-sinergi-abpednas-dan-aslinmas-perkuat-desa/ on URL https://mediapelangi.com/2026/09/20/sanjaya-dorong-sinergi-abpednas-dan-aslinmas-perkuat-desa/
Pemkab Tabanan Dorong Penguatan Ekonomi Kreatif melalui Baturiti Festival - RRI.co.id,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNTm1HWm1GazR2bU1MRmNmSHc0c1kzbjN4TUIxSDZNT1NHRVBPUGE2WUFoLVN0X3JTWXQ0anc3Wlc2elA2Z25wREhtU2pmN0lfTGp0LVFsVGJxeDJPcC1fWUd1bU9vTW96bko0ZTZxOXVLSnRBbHdoc2VhTW5vdmczOGN3LTExSGlhLXVKT0NQZ2lVa0xJWDczMzg1M0VEZmpUMllVMFFHOWpNRDl0TnlBLWdrcVA3MzFS?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://rri.co.id/denpasar/regional/2743231/pemkab-tabanan-dorong-penguatan-ekonomi-kreatif-melalui-baturiti-festival on URL https://rri.co.id/denpasar/regional/2743231/pemkab-tabanan-dorong-penguatan-ekonomi-kreatif-melalui-baturiti-festival
"Tabanan Kejar Kemandirian Fiskal, PAD Didorong Jadi Tulang Punggung Daerah - Media Pelangi",https://news.google.com/rss/articles/CBMirwFBVV95cUxPZWFrdEF5dnJJT1dXOHNpa0M3ZjJjWGxPMFQxbnI3WGdrM3hvOGNUbHlsc01CaTE5bEFhNnJJNGxwX0pyamI4WS1BWkxvYWZkejZDdW5MVlNJMmNUS2dvSjJ5M2dRREUyQ2JkUzFIQTlHX2JVclNycHF6MDBZY2VlUUFaSEtmY3g5S2hXeFRSUVFWNmdaQ2FwNUJYTWVRdjlZa1ZzZDlkWVNKb21zMWVV?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://mediapelangi.com/2026/09/19/tabanan-kejar-kemandirian-fiskal-pad-didorong-jadi-tulang-punggung-daerah/ on URL https://mediapelangi.com/2026/09/19/tabanan-kejar-kemandirian-fiskal-pad-didorong-jadi-tulang-punggung-daerah/
Bupati Sanjaya Dorong Reforma Agraria Berbasis Data Presisi - RRI.co.id,https://news.google.com/rss/articles/CBMipgFBVV95cUxNLXNPV3ByUU9Zcnp5ZU5KVUZsLVZ6djhPX1lsU0FLaDEtUHRPWDBKTkVucjZlRUQzSnQyRVFtQzhxc0YxbzJYMXhkU3kyTXV3aTlRZ3RCdWFnYkd6ZEtnUUtwbWdXdERFeDFMdlpueTcyTWN5b0dXMWctcTVqOW5WbFhYN2djSWFGQ0x2NjNQOERKX3ZQdy0xSWdSeFUyd3BaOVRiWjZR?oc=5,Scrape failed: Article `download()` failed with 403 Client Error: Forbidden for url: https://rri.co.id/denpasar/regional/2743228/bupati-sanjaya-dorong-reforma-agraria-berbasis-data-presisi on URL https://rri.co.id/denpasar/regional/2743228/bupati-sanjaya-dorong-reforma-agraria-berbasis-data-presisi
